Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,4,0.31,0.61,0.37871627472763103
75% Corpus,4,0.31,0.9099999999999999,0.38883587835101274
75% Corpus,4,0.31,symmetric,0.37657351850991305
75% Corpus,4,0.61,0.01,0.3748271123184817
75% Corpus,4,0.61,0.31,0.3748271123184816
75% Corpus,4,0.61,0.61,0.38855367698268045
75% Corpus,4,0.61,0.9099999999999999,0.4072507073698244
75% Corpus,4,0.61,symmetric,0.35975193054781873
75% Corpus,4,0.9099999999999999,0.01,0.37700207777876427
75% Corpus,4,0.9099999999999999,0.31,0.3605031132982526
75% Corpus,4,0.9099999999999999,0.61,0.34257555471066087
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.3743267082946148
75% Corpus,4,0.9099999999999999,symmetric,0.35141299309753393
75% Corpus,4,symmetric,0.01,0.39996065269424164
75% Corpus,4,symmetric,0.31,0.38985589648230273
75% Corpus,4,symmetric,0.61,0.42196846796182824
75% Corpus,4,symmetric,0.9099999999999999,0.4024067755088474
75% Corpus,4,symmetric,symmetric,0.3780319571504497
75% Corpus,4,asymmetric,0.01,0.368150906344318
75% Corpus,4,asymmetric,0.31,0.3623131567095564
75% Corpus,4,asymmetric,0.61,0.35378425339898045
75% Corpus,4,asymmetric,0.9099999999999999,0.3871764724843253
75% Corpus,4,asymmetric,symmetric,0.38355590866857586
75% Corpus,5,0.01,0.01,0.36884746835565146
75% Corpus,5,0.01,0.31,0.3706262345754806
75% Corpus,5,0.01,0.61,0.3737728532270611
75% Corpus,5,0.01,0.9099999999999999,0.3736744070048149
75% Corpus,5,0.01,symmetric,0.3666249440171144
75% Corpus,5,0.31,0.01,0.36599995226456783
75% Corpus,5,0.31,0.31,0.35734686402518206
75% Corpus,5,0.31,0.61,0.37830487362476223
75% Corpus,5,0.31,0.9099999999999999,0.3744648606544423
75% Corpus,5,0.31,symmetric,0.35466509629387877
75% Corpus,5,0.61,0.01,0.3532290220299865
75% Corpus,5,0.61,0.31,0.373546428386118
75% Corpus,5,0.61,0.61,0.36783619598771417
75% Corpus,5,0.61,0.9099999999999999,0.37827287418755784
75% Corpus,5,0.61,symmetric,0.36966743867331464
